Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-08-26T13:32:37.825528Z,NIO,BUY - MARKET,128.2051282,$19.50 ,"$2,501.18 ",USD,1.1803
2020-08-27T10:45:12.159019Z,,CASH TOP-UP,,,"$10,000 ",USD,1.1809
2020-08-27T13:30:11.942344Z,TSLA,BUY - MARKET,2.29148621,"$2,181.99 ","$5,001.18 ",USD,1.1879
2020-08-27T13:30:41.645752Z,AAPL,BUY - MARKET,9.83284169,$508.50 ,"$5,001.18 ",USD,1.1875
2020-08-31T08:22:01.027781Z,AAPL,STOCK SPLIT,32.11895568,,$0 ,USD,1.1899
2020-08-31T08:25:05.581446Z,TSLA,STOCK SPLIT,15.54214036,,$0 ,USD,1.19
2020-08-31T23:43:38.125601Z,,CUSTODY FEE,,,($0.10),USD,1.1942
2020-09-02T06:51:40.380089Z,V,DIVIDEND,,,$1.06 ,USD,1.1903
2020-09-30T23:52:32.027455Z,,CUSTODY FEE,,,($0.19),USD,1.1727
2020-10-13T19:54:13.260207Z,,CASH TOP-UP,,,"$6,000 ",USD,1.1751
2020-10-13T19:54:53.715557Z,XPEV,BUY - MARKET,305.2416073,$19.66 ,"$6,000 ",USD,1.1751
2020-10-31T23:48:04.853068Z,,CUSTODY FEE,,,($0.26),USD,1.1764
2020-11-05T14:31:06.267245Z,SQ,SELL - MARKET,12.61431725,$177 ,"$2,232.67 ",USD,1.1831
2020-11-05T14:31:20.185486Z,NIO,SELL - MARKET,342.3378905,$38.70 ,"$13,248.15 ",USD,1.1832
2020-11-05T14:32:34.826531Z,XPEV,SELL - MARKET,305.2416073,$30.99 ,"$9,459.19 ",USD,1.1836
2020-11-13T07:53:20.739283Z,AAPL,DIVIDEND,,,$7.46 ,USD,1.1819
2020-11-19T14:30:24.325416Z,TSLA,SELL - MARKET,19.42767545,$491.97 ,"$9,557.61 ",USD,1.1826
2020-12-01T00:31:42.769851Z,,CUSTODY FEE,,,($0.05),USD,1.1943
2020-12-02T14:30:31.930200Z,WORK,BUY - MARKET,230.8402585,$43.32 ,"$10,000 ",USD,1.2073
2020-12-02T14:30:33.329757Z,TSLA,BUY - MARKET,17.98108389,$556.14 ,"$10,001.20 ",USD,1.2075
2020-12-02T14:30:42.807891Z,MRNA,BUY - MARKET,72.16569242,$138.57 ,"$10,000 ",USD,1.2075
