Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-06-25T11:02:56.315974Z,,CASH TOP-UP,,,$3.60,USD,1.1948
2021-07-01T05:27:35.091356Z,,CUSTODY FEE,,,-$5.02,USD,1.1843
2021-07-16T10:12:54.428945Z,,CASH TOP-UP,,,$5.02,USD,1.1819
2021-08-01T11:11:23.934594Z,,CUSTODY FEE,,,-$4.34,USD,1.1999
2021-08-05T17:45:28.585472Z,,CASH TOP-UP,,,$4.34,USD,1.1836
2021-08-09T07:40:37.456741Z,,CASH TOP-UP,,,"$10,000",USD,1.1765
2021-08-09T13:30:58.283277Z,NVDA,BUY - MARKET,24.48220143,$204.23,"$5,000",USD,1.1764
2021-08-09T13:31:37.836310Z,HOOD,BUY - MARKET,84.5451471,$59.14,"$5,000",USD,1.1764
2021-08-25T11:23:35.114549Z,,CASH TOP-UP,,,"$10,000",USD,1.1741
2021-08-25T13:30:45.322402Z,GOOGL,BUY - MARKET,3.53045013,"$2,832.50","$10,000",USD,1.1743
2021-08-25T16:10:30.499359Z,,CASH TOP-UP,,,"$10,000",USD,1.1766
2021-08-25T16:11:32.762495Z,MSFT,BUY - MARKET,33.17089594,$301.47,"$10,000",USD,1.1765
2021-09-01T09:25:19.752760Z,,CUSTODY FEE,,,-$7.11,USD,1.1817
2021-09-02T19:10:41.175919Z,,CASH TOP-UP,,,$7.11,USD,1.1877
2021-09-13T14:51:53.617555Z,,CASH TOP-UP,,,"$10,000",USD,1.1807
2021-09-13T14:52:43.486520Z,MSFT,BUY - MARKET,33.83188984,$295.58,"$10,000",USD,1.1809
2021-09-24T05:22:34.862816Z,NVDA,DIVIDEND,,,$0.83,USD,1.1741
2021-10-02T05:31:00.783497Z,,CUSTODY FEE,,,-$7.54,USD,1.1597
2021-10-05T13:02:12.745200Z,,CASH TOP-UP,,,$781.95,USD,1.1604
2021-10-05T13:02:38.389520Z,,CASH TOP-UP,,,"$4,000",USD,1.1602
2021-10-05T13:02:57.061187Z,,CASH TOP-UP,,,$300,USD,1.1602
2021-10-05T13:30:34.133481Z,AAPL,BUY - MARKET,36.38164874,$139.50,"$5,075.24",USD,1.1593
2021-10-07T08:42:17.886690Z,,CASH TOP-UP,,,"$10,000",USD,1.1566
2021-10-07T13:30:21.174748Z,AAPL,BUY - MARKET,69.93006993,$143,"$10,000",USD,1.1553
2021-11-03T03:10:17.218277Z,,CUSTODY FEE,,,-$10.47,USD,1.1586
2021-11-04T18:57:42.178521Z,XPEV,SELL - MARKET,237.50935608,$48.06,"$11,414.85",USD,1.1557
2021-11-04T18:58:41.105817Z,NIO,BUY - MARKET,230.0489993,$43.47,"$10,000",USD,1.1557
2021-11-04T18:58:54.612632Z,NIO,BUY - MARKET,32.32243958,$43.45,"$1,404.38",USD,1.1557
2021-11-04T19:02:22.669482Z,NVDA,SELL - MARKET,24.48220143,$303.21,"$7,423.22",USD,1.1556
2021-11-04T19:13:44.177726Z,GOOGL,BUY - MARKET,2.5020628,"$2,966.84","$7,423.22",USD,1.1555
2021-11-17T06:11:24.419400Z,AAPL,DIVIDEND,,,$19.88,USD,1.1301
2021-12-02T03:40:06.995070Z,,CUSTODY FEE,,,-$10.11,USD,1.1334
2021-12-10T09:59:32.481805Z,MSFT,DIVIDEND,,,$35.31,USD,1.1286
2022-01-04T08:35:31.735127Z,,CUSTODY FEE,,,-$9.46,USD,1.1300
2022-02-02T10:22:06.756788Z,,CUSTODY FEE,,,-$8.40,USD,1.1301
2022-02-15T05:44:26.602901Z,AAPL,DIVIDEND,,,$19.88,USD,1.1323
2022-03-02T03:53:40.437482Z,,CUSTODY FEE,,,-$8.28,USD,1.1123
2022-03-11T05:39:53.452420Z,MSFT,DIVIDEND,,,$35.31,USD,1.1003
2022-03-17T08:54:17.670433Z,,CASH TOP-UP,,,"$10,000",USD,1.1058
2022-03-17T13:32:12.034572Z,NIO,BUY - MARKET,499.44117647,$18.02,"$9,000",USD,1.1063
2022-04-02T10:46:57.784109Z,,CUSTODY FEE,,,-$9.53,USD,1.1051
2022-05-03T03:21:25.302264Z,,CUSTODY FEE,,,-$8.11,USD,1.0521
2022-05-16T05:24:36.248267Z,AAPL,DIVIDEND,,,$20.78,USD,1.0408
2022-05-26T13:30:55.867131Z,TSLA,BUY - MARKET,1.62934947,$661,"$1,077",USD,1.0703
2022-05-26T15:02:18.315294Z,,CASH TOP-UP,,,"$3,000",USD,1.0722
2022-05-26T15:02:42.616905Z,AMZN,BUY - MARKET,1.35110182,"$2,220.41","$3,000",USD,1.0722
2022-05-26T15:03:53.810002Z,,CASH TOP-UP,,,"$3,000",USD,1.0721
2022-05-26T15:04:13.306013Z,NVDA,BUY - MARKET,16.9992067,$176.48,"$3,000",USD,1.0721
2022-05-26T15:09:02.316050Z,,CASH TOP-UP,,,"$3,000",USD,1.0718
2022-05-26T15:09:18.499814Z,META,BUY - MARKET,15.92113782,$188.43,"$3,000",USD,1.0720
2022-05-31T14:30:03.949421Z,TSLA,SELL - MARKET,1.62934947,$744.55,"$1,213.09",USD,1.0706
2022-06-01T15:45:48.424748Z,TSLA,BUY - MARKET,1.64398785,$737.84,"$1,213",USD,1.0634
2022-06-02T04:15:18.464467Z,,CUSTODY FEE,,,-$8.92,USD,1.0658
2022-06-06T05:20:44.582255Z,AMZN,STOCK SPLIT,25.67093458,,$0,USD,1.0738
2022-06-10T04:40:38.901664Z,MSFT,DIVIDEND,,,$35.31,USD,1.0636
2022-06-15T04:19:11.347329Z,REGI,MERGER - STOCK,-93.83346036,,$0,USD,1.0441
2022-06-15T04:32:10.863296Z,REGI,MERGER - CASH,,,"$5,770.76",USD,1.0433
2022-07-02T09:23:34.813578Z,,CUSTODY FEE,,,-$8.49,USD,1.0432
2022-07-07T05:13:14.114973Z,NVDA,DIVIDEND,,,$0.58,USD,1.0220
2022-07-18T05:13:10.988705Z,GOOGL,STOCK SPLIT,114.61774567,,$0,USD,1.0101
2022-08-02T11:27:24.752987Z,,CUSTODY FEE,,,-$9.06,USD,1.0241
2022-08-04T13:45:35.561201Z,AMZN,SELL - MARKET,27.0220364,$141.05,"$3,811.39",USD,1.0199
2022-08-04T14:47:39.690951Z,TSLA,SELL - MARKET,1.64398785,$923.55,"$1,518.26",USD,1.0196
2022-08-04T15:02:31.934027Z,COIN,BUY - MARKET,52.35116741,$95.51,"$5,000",USD,1.0214
2022-08-10T13:32:30.875933Z,AMZN,BUY - MARKET,42.74221755,$142.95,"$6,110",USD,1.0316
2022-08-16T06:47:07.070199Z,AAPL,DIVIDEND,,,$20.78,USD,1.0167
2022-08-19T15:00:53.664935Z,NVDA,SELL - MARKET,16.9992067,$179.25,"$3,047.05",USD,1.0045
2022-08-19T15:01:10.544462Z,AAPL,SELL - MARKET,106.31171867,$171.91,"$18,275.82",USD,1.0046
2022-08-25T17:57:37.300577Z,META,BUY - MARKET,59.65916955,$167.62,"$10,000",USD,0.9978
2022-08-25T17:58:51.595319Z,GOOGL,BUY - MARKET,86.11125462,$116.13,"$10,000",USD,0.9979
2022-09-03T10:40:29.715629Z,,CUSTODY FEE,,,-$9.14,USD,0.9961
2022-09-12T05:30:38.765097Z,MSFT,DIVIDEND,,,$35.31,USD,1.0098
2022-09-22T18:19:21.734867Z,META,BUY - MARKET,9.54311786,$143.56,"$1,370",USD,0.9838
2022-10-04T03:27:50.546565Z,,CUSTODY FEE,,,-$7.97,USD,0.9836
2022-10-26T07:06:23.645133Z,,CASH TOP-UP,,,$7.96,USD,0.9980
2022-11-02T08:41:09.042115Z,,CUSTODY FEE,,,-$6.79,USD,0.9906
2022-11-09T16:22:52.199969Z,,CASH TOP-UP,,,$6.79,USD,1.0052
2022-12-02T05:53:11.517818Z,,CUSTODY FEE,,,-$7.47,USD,1.0528
2022-12-09T07:49:10.751894Z,MSFT,DIVIDEND,,,$38.73,USD,1.0583
2022-12-14T09:15:18.685808Z,,CUSTODY FEE,,,-$7.47,USD,1.0649
2023-01-04T08:43:03.771410Z,,CUSTODY FEE,,,-$6.56,USD,1.0617
2023-02-01T03:47:27.018947Z,,CUSTODY FEE,,,-$7.53,USD,1.0867
2023-02-07T19:09:19.295450Z,,CASH TOP-UP,,,"$20,000",USD,1.0719
2023-02-07T19:09:38.012Z,GOOGL,BUY - MARKET,94.77009097,$105.52,"$10,000",USD,1.0720
2023-02-07T19:10:04.732Z,MSFT,BUY - MARKET,37.82886324,$264.35,"$10,000",USD,1.0718
2023-03-02T07:18:00.928256Z,,CUSTODY FEE,,,-$9.17,USD,1.0644
2023-03-13T04:42:21.639508Z,MSFT,DIVIDEND,,,$60.60,USD,1.0736
2023-03-31T20:02:28.171097Z,,CASH TOP-UP,,,"$10,000",USD,1.0861
2023-04-03T13:31:28.637Z,T,BUY - MARKET,498.7039917,$19.29,"$9,620",USD,1.0882
2023-04-04T08:07:04.964358Z,,CUSTODY FEE,,,-$10.46,USD,1.0926
2023-05-02T05:06:01.014468Z,T,DIVIDEND,,,$117.63,USD,1.0997
2023-05-02T15:44:28.258140Z,,CUSTODY FEE,,,-$11.45,USD,1.0998
2023-06-02T05:05:44.131835Z,,CUSTODY FEE,,,-$12.49,USD,1.0775
2023-06-09T06:00:22.235333Z,MSFT,DIVIDEND,,,$60.60,USD,1.0793
2023-07-04T05:22:20.673304Z,,CUSTODY FEE,,,-$13.12,USD,1.0911
2023-07-27T13:30:22.973Z,COIN,SELL - MARKET,52.35116741,$102.59,"$5,370.66",USD,1.1033
2023-07-27T13:32:55.925Z,XPEV,BUY - MARKET,291.33251714,$20.42,"$5,949",USD,1.1027
2023-08-02T08:43:21.524077Z,,CUSTODY FEE,,,-$14.75,USD,1.0998
2023-08-03T04:26:47.153438Z,T,DIVIDEND,,,$117.63,USD,1.0945
2023-08-06T08:43:01.969905Z,PLUG,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,150.11440885,,$0,USD,1.1018
2023-08-06T08:43:01.972485Z,PLTR,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,263.15868421,,$0,USD,1.1018
2023-08-06T08:43:01.974729Z,NIO,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,1167.50444972,,$0,USD,1.1018
